claim_id,title,statement,status,layer,dependencies,not_claimed,first_document,first_version,first_date,doi,github_tag,commit_hash,website_url,failure_condition,downstream_claims
FDS-Q0-004,Born Rule as No-Arbitrage Rule,Born weights are the no-record-capacity-arbitrage rule.,Open theorem target (companion target),Physics - Quantum upstream,FDS-Q0-003,Companion target; not completed in Q0.,FDS-Q0,2026-06,2026-06-04,10.5281/zenodo.20542105,,,,"A non-Born rule satisfies basis neutrality, coarse-graining, composition, and finite record-capacity no-arbitrage.",
FDS-Q0-005,Decoherence Irreversibility Tracks Stable Records,"Decoherence irreversibility tracks stable records, not mere entanglement alone.",Operational prediction,Physics - Quantum upstream,FDS-Q0-001,Entanglement alone is not the operational criterion.,FDS-Q0,2026-06,2026-06-04,10.5281/zenodo.20542105,,,,Stable record accessibility has no independent predictive role for recovery once ordinary overlap and noise metrics are controlled.,
FDS-Q0-006,QEC Overhead Tracks Directed Leakage Holonomy,QEC overhead tracks directed leakage holonomy.,Q0/Q2 bridge prediction,Physics - Quantum upstream,FDS-Q0-001,Bridge prediction; requires QEC validation.,FDS-Q0,2026-06,2026-06-04,10.5281/zenodo.20542105,,,,Directed leakage has no independent predictive value for logical failure after matched-fidelity and matched-syndrome controls.,
FDS-H2-001,Recovery Descent Hierarchy,"Raw exact descent, quotient descent, and strict liftability are distinct.",Restricted formal propositions,Physics - H-series,FDS-H1,Does not develop full higher-descent formalism.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,A G0-valued defect guarantees quotient descent only; a strict lift requires triviality of the associated twisted lifting obstruction.,FDS-H2-002
FDS-H2-002,Registered Connection Rule and Kato Support Geometry,A connection must be generated by a pre-registered gauge-covariant rule; the relative Kato construction defines recoverable-support transport.,Admissibility rule; relative Kato theorem,Physics - H-series,FDS-H2-001,Canonical only relative to registered ambient geometry.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,"If curvature changes under equivalent presentations or response-dependent ambient geometry, it is not an identifiable support invariant.",FDS-H2-003;FDS-H2-004
FDS-H2-003,Kato Transport Scope and Full-Channel Blindness,"Kato transport is a recoverable-support geometry, not a full-channel geometry.",Scope theorem and blindness proposition,Physics - H-series,FDS-H2-002,Full-channel geometry remains an open branch.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,"Equal support projectors imply equal Kato connections and curvatures even when channel spectra, weights, fidelity, or action differ.",
FDS-H2-004,Regular Physical Recovery Quotient,The physical recovery quotient is a regular principal-bundle quotient.,Restricted quotient theorem,Physics - H-series,FDS-H2-002,Requires closed normal subgroup and regular chamber.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,"Outside the closed-normal, regular branch the quotient must be treated as stratified, orbifold, groupoid, or stack-like.",FDS-H2-005;FDS-H2-006
FDS-H2-005,Operational-Covector Bridge,The operational-covector bridge is d omega_th = l(F_phys) for a pre-registered parallel flat-coefficient readout.,Conditional functional bridge and Stokes protocol,Physics - H-series,FDS-H2-004,Flat coefficient bundle only; non-flat bundles reserved for future extension.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,"A global bridge requires [l(F_phys)]_dR = 0; failure demotes the functional, scale calibration, or global covector realization.",FDS-H2-007
FDS-H2-006,Response-Bundle Bridge,A parallel bundle bridge exists exactly when a base-point map intertwines all holonomies.,Bundle-branch theorem,Physics - H-series,FDS-H2-004,Standard holonomy principle specialized to registered bundles.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,Held-out loops support only the sampled subgroup unless generators are proved; does not apply to the direct covector branch.,
FDS-H2-007,Holonomy-Relative Visibility and Character-Based Abelianization,Parallel Branch-A readouts are holonomy-relative; character-based one-dimensional responses see only the full Lie-algebra Abelianization of the identity component.,Holonomy-invariance proposition and character no-go theorem,Physics - H-series,FDS-H2-005,General parallel readout is not equivalent to a character-based response.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,"A general parallel readout annihilates [hol_X0, g_phys], not necessarily [g_phys, g_phys]; full Abelianization requires full-group invariance, a character differential, or equality of these commutator subspaces.",
FDS-H2-008,"H2 Does Not Derive G1, GR, or M3/4","H2 derives G1, GR, or M3/4.",Explicitly not claimed,Physics - H-series,FDS-H2-001,All G1/GR/M3/4 derivations remain downstream.,FDS-H2,2026-06,2026-06-06,10.5281/zenodo.20567788,,,,"H2 ends at a support-level premetric response-obstruction criterion; full-channel geometry, Ward closure, optical selection, and cosmology remain downstream.",
FDS-T3-001,Capacity Overflow,Capacity overflow occurs when task-relevant distinction demand exceeds accessible capacity.,Operational criterion,Bridge,FDS-CORE-004 capacity deficit; task-relevant demand measure; accessible capacity measure,,FDS-T3,v1.0,2026-05-16,10.5281/zenodo.20250367,,,,Full-fidelity tracking persists under bounded resources after independently estimated demand exceeds all accessible capacity.,FDS-T3-002;FDS-T3-003;FDS-T3-004;FDS-T3-005;FDS-T3-006;FDS-T3-007
FDS-T3-002,Non-Injective Projection Induces Effective Stochasticity,Non-injective projection induces effective stochasticity.,Conditional theorem,Bridge,FDS-P4-001 non-injective truncation; deterministic or stochastic underlying dynamics; hidden successor variation within pre-image classes,,FDS-T3,v1.0,2026-05-16,10.5281/zenodo.20250367,,,,A many-to-one accessible projection always induces deterministic accessible transitions despite hidden successors varying within the same visible record class.,FDS-T3-003;FDS-T3-004
FDS-T3-003,Critical-Deficit Signature,Overflow has a critical-deficit signature: predictive error and transition entropy show rapid increase near the capacity crossing.,Testable prediction,Bridge,FDS-T3-001 overflow definition; predictive error measure; transition entropy measure; controlled capacity crossing,,FDS-T3,v1.0,2026-05-16,10.5281/zenodo.20250367,,,,Predictive error, transition entropy, and exit signatures vary smoothly through controlled capacity crossing with no susceptibility peak, kink, or rapid regime change.,
FDS-T3-004,Phase-B Variable Selection,Phase-B variables are selected by low update cost, slow information decay, and approximate Markov closure.,Selection principle,Bridge,FDS-T3-002 effective stochasticity; mutual information decay measure; Markov closure error measure; maintenance cost function,,FDS-T3,v1.0,2026-05-16,10.5281/zenodo.20250367,,,,All coarse variables lose predictive information at the same rate under projection, regardless of update cost, closure error, or persistence utility.,FDS-T3-007
FDS-T3-005,Informational Hysteresis,Capacity recovery need not reverse overflow: discarded distinctions are not automatically recovered.,Conditional prediction,Bridge,FDS-P4-003 informational hysteresis; finite record capacity; no external recovery side-record,,FDS-T3,v1.0,2026-05-16,10.5281/zenodo.20250367,,,,Discarded distinctions are perfectly reconstructed after capacity recovery without external logs, hidden reservoirs, or additional records.,
FDS-T3-006,Capacity-Relative Stochasticity,Stochastic descriptions are capacity-relative unless supported by capacity-independent noise sources.,Scope claim,Bridge,FDS-T3-002 effective stochasticity; accounting boundary registration; capacity-independent noise source definition,,FDS-T3,v1.0,2026-05-16,10.5281/zenodo.20250367,,,,The same process yields the same stochastic description independent of observer capacity, projection, measurement boundary, and retained memory.,
FDS-T3-007,Long-Context Drift as Wrong Invariant Completion,Long-context drift is a domain projection of wrong invariant completion under overflow.,Engineering projection,Bridge,FDS-T3-004 Phase-B invariants; context window capacity; false invariant completion mechanism,,FDS-T3,v1.0,2026-05-16,10.5281/zenodo.20250367,,,,Context overflow in finite-window systems never increases false dependency, semantic drift, wrong task-state completion, or external-memory demand under matched tasks.,
FDS-P8-001,Projection Yields Instantaneous-Memory-Forcing Decomposition,Projection yields an exact instantaneous-memory-forcing decomposition for linear dynamics.,Imported exact identity,Bridge,Exact linear semigroup; registered projection; compatible domain,Nonlinear state equations without a valid lifted observable representation.,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,The declared generator, projection, domain, or semigroup assumptions fail, or a nonlinear state equation is used without a valid lifted observable representation.,FDS-P8-002;FDS-P8-003;FDS-P8-004;FDS-P8-005;FDS-P8-006;FDS-P8-007;FDS-P8-008
FDS-P8-002,Only Controllable-and-Observable Residue Contributes to Visible Memory,Only controllable-and-observable residue contributes to visible round-trip memory.,Restricted theorem,Bridge,FDS-P4-001 non-injective truncation; exact linear realization; input-output factorization; silent-sector definition,,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,Removing a declared silent sector changes the memory kernel, transfer function, or retained input-output behavior.,FDS-P8-003;FDS-P8-006
FDS-P8-003,Exponential Semigroup Stability Gives Finite Memory-Burden Bound,Exponential residue-semigroup stability gives a finite memory-burden bound.,Conditional theorem,Bridge,Exponential stability bound; bounded couplings; finite horizon; registered norm,,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,Exponential stability does not hold, couplings are unbounded on the relevant domain, or the retained solution class violates the finite-horizon assumptions.,FDS-P8-008
FDS-P8-004,Coupled Marginal Modes Obstruct Integrable Memory Closure,Coupled marginal modes obstruct integrable memory closure.,Conditional theorem,Bridge,Transfer function poles near imaginary axis; both input and output coupling; no exact cancellation,The marginal mode is silent, canceled by the transfer channel, removed by symmetry, or absent from the registered active quotient.,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,The marginal mode is silent, canceled by the transfer channel, removed by symmetry, or absent from the registered active quotient.,
FDS-P8-005,Low-Frequency Transfer Weight Can Generate Algebraic Memory Tails,Low-frequency transfer spectral weight can generate algebraic memory tails under registered Tauberian conditions.,Tauberian result,Bridge,Scalar positive-kernel regularity assumptions; monotonicity or bounded variation,Non-normal, sign-changing, matrix-canceling, time-dependent, or outside-regular-variation kernels.,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,The kernel is non-normal, sign-changing, matrix-canceling, time dependent, or outside the registered regular-variation assumptions.,
FDS-P8-006,Transfer Significance Bounds Reachable Round-Trip Recoverability,Transfer significance bounds reachable round-trip recoverability when the two observation channels are boundedly equivalent on reachable residue.,P8 channel-registration bridge theorem,Bridge,Registered bounded interconnection between retained return channel and physical recovery channel; reachable residue sector; linear finite-dimensional; Gaussian,,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,No bounded interconnection exists, the lower bound vanishes, or recovery uses side records outside the registered retained return channel.,FDS-P8-007
FDS-P8-007,Recoverability Depends on Observation Channel, Not Just Lifetime,Operational recoverability depends on the observation channel, not on residue lifetime alone.,Exact model theorem,Bridge,P4 pre-image observability; P8 channel registration; decoder specification,,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,The claimed recovery is obtained only by changing the accounting boundary, decoder resources, task labels, or observation channel.,
FDS-P8-008,Strictly Proper Rational Memory Admits Finite Exact Markov Augmentation,Strictly proper rational memory admits finite exact Markov augmentation.,Imported realization theorem,Bridge,Strictly proper rational transfer function; feedthrough term absorbed into instantaneous generator; minimal realization dimension,,FDS-P8,v1.0,2026-06-09,10.5281/zenodo.20611696,,,,A non-rational kernel is asserted to have a finite exact realization, the feedthrough term is not absorbed into the instantaneous generator, or the proposed augmentation fails to reproduce the transfer function.,
FDS-T4-001,Joint Forced-and-Preparation Closure Response,Joint closure response includes both forced-history and preparation-coordinate input families.,Definition / typed response structure,Bridge,FDS-P8 coupled residue channel; P3/P4 preparation/initial-data structure; registered preparation injection map,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,Preparation-forced residue has no measurable effect on closure quality or error budget.,FDS-T4-002;FDS-T4-003;FDS-T4-004;FDS-T4-005;FDS-T4-006;FDS-T4-007;FDS-T4-008;FDS-T4-009;FDS-T4-010
FDS-T4-002,Four-Way Residue Treatment Taxonomy,Active residue admits four admissible treatments: promote, localize, truncate, or reject.,Classification principle,Bridge,FDS-P8 residue qualification hierarchy; finite task tolerance; closure error budget,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,Four-way taxonomy systematically misclassifies residue treatment decisions in controlled test cases.,FDS-T4-003
FDS-T4-003,Noncommuting Closure Pipeline Order,Closure operations do not commute: active quotient -> persistent isolation -> promotion -> stable reduction -> localization.,Operational principle,Bridge,Ordered pipeline hypothesis; persistent-mode isolation before localization,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,Localization before persistent isolation yields identical or superior closure quality without divergence.,FDS-T4-008;FDS-T4-009
FDS-T4-004,Four-Level State Firewall Distinction,Four-level state firewall distinguishes realization coordinates, physical closure states, macroscopic variables, and conserved quantities.,Classification principle,Bridge,FDS-P7 side-ledger distinction; P3/P4 accessible/observer boundary; carrier registration,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,No measurable information-theoretic or physical difference between state categories under valid closure mapping.,FDS-T4-005
FDS-T4-005,Persistent-Channel Degree Obligation,Persistent joint-response poles impose a minimum additional closure degree: additional closure degree >= McMillan degree of persistent block.,Restricted realization theorem,Bridge,Minimal realization theory; rational transfer function McMillan degree; isolated persistent spectrum; joint forced-and-preparation response,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,An exact causal closure with fewer degrees than the persistent-block McMillan degree reproduces all registered joint responses.,FDS-T4-006
FDS-T4-006,Representation Invariance of Additional Closure Degree,Additional closure degree is representation-invariant across internal state, higher-order derivatives, and registered side-ledgers.,Corollary / invariant property,Bridge,FDS-T4-005 persistent-channel theorem; minimal linearization; full initial-data manifold,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,Equivalent joint responses with different representations have measurably different minimal linearized degrees.,FDS-T4-007
FDS-T4-007,Operational Promotion Rank Monotonicity,Operational promotion rank is monotonic in task window length, error tolerance strictness, and law-class restrictiveness.,Conditional proposition,Bridge,Nested closure classes; contractive time-norm restriction; compatible input-window registration; finite-window Hankel operator,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,Promotion rank systematically decreases with longer task window, stricter tolerance, or smaller law class under valid registration.,
FDS-T4-008,Startup-Qualified Temporal Localization,Fast-residue memory admits a startup-qualified Taylor expansion in derivatives of the retained state with controlled remainder.,Conditional theorem,Bridge,Exponential semigroup bound; incomplete moment tail estimate; initial fast-residue forcing bound; retained-state regularity,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,Temporal localization with declared order violates error bound or diverges for valid stable memory kernels within stated assumptions.,FDS-T4-009
FDS-T4-009,Stability Firewall for Local-Truncation Laws,Local-truncation laws require separate stability audit: constitutive series convergence does not guarantee autonomous-law well-posedness.,Admissibility criterion,Bridge,Stable auxiliary-state reference; operator-pencil well-posedness criterion,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,All convergent Taylor expansions of stable memory kernels yield well-posed autonomous evolution laws.,
FDS-T4-010,Phase-B Pareto Closure Frontier,Phase-B closure frontier selects Pareto-minimal closures trading error, additional degree, law order, maintenance cost, and side-ledger access.,Definition / selection framework,Bridge,Multi-objective Pareto order; registered resource costs; certified error budgets,,FDS-T4,v1.0,2026-06-15,10.5281/zenodo.20703274,,,,Pareto-optimal frontier does not correlate with actual closure quality or maintainability in controlled synthetic or experimental benchmarks.,
